Name,Team_to,League_to,Season,Transfer_fee
Luís Figo,Real Madrid,La Liga,2000-2001,60000000
Hernán Crespo,Lazio,Serie A,2000-2001,56810000
Marc Overmars,FC Barcelona,La Liga,2000-2001,40000000
Gabriel Batistuta,AS Roma,Serie A,2000-2001,36150000
Nicolas Anelka,Paris SG,Ligue 1,2000-2001,34500000
Rio Ferdinand,Leeds,Premier League,2000-2001,26000000
Flávio Conceicao,Real Madrid,La Liga,2000-2001,25000000
Savo Milosevic,Parma,Serie A,2000-2001,25000000
David Trézéguet,Juventus,Serie A,2000-2001,23240000
Claudio López,Lazio,Serie A,2000-2001,23000000
Jimmy Floyd Hasselbaink,Chelsea,Premier League,2000-2001,22500000
Gerard López,FC Barcelona,La Liga,2000-2001,21600000
Lucas,Stade Rennais,Ligue 1,2000-2001,21300000
Pablo Aimar,Valencia CF,La Liga,2000-2001,21250000
Wálter Samuel,AS Roma,Serie A,2000-2001,20800000
Shabani Nonda,Monaco,Ligue 1,2000-2001,20000000
Robbie Keane,Inter,Serie A,2000-2001,19500000
José Mari,AC Milan,Serie A,2000-2001,19000000
Jonathan Zebina,AS Roma,Serie A,2000-2001,18400000
Émerson,AS Roma,Serie A,2000-2001,18000000
Sergiy Rebrov,Spurs,Premier League,2000-2001,18000000
Angelo Peruzzi,Lazio,Serie A,2000-2001,17900000
Diego Tristán,Dep. La Coruña,La Liga,2000-2001,17750000
Sylvain Wiltord,Arsenal,Premier League,2000-2001,17500000
Fernando Redondo,AC Milan,Serie A,2000-2001,17500000
Nuno Gomes,Fiorentina,Serie A,2000-2001,17000000
Sérgio Conceição,Parma,Serie A,2000-2001,17000000
Alfonso,FC Barcelona,La Liga,2000-2001,16500000
Francisco Farinós,Inter,Serie A,2000-2001,16250000
Kakhaber Kaladze,AC Milan,Serie A,2000-2001,16000000
Francis Jeffers,Arsenal,Premier League,2000-2001,15300000
Emmanuel Petit,FC Barcelona,La Liga,2000-2001,15000000
Tomás Rosicky,Bor. Dortmund,Bundesliga,2000-2001,14500000
Catanha,Celta de Vigo,La Liga,2000-2001,14420000
Juan Pablo Ángel,Aston Villa,Premier League,2000-2001,14400000
Claude Makélélé,Real Madrid,La Liga,2000-2001,14000000
Aldo Duscher,Dep. La Coruña,La Liga,2000-2001,13000000
Ugo Ehiogu,Middlesbrough,Premier League,2000-2001,12200000
Jesper Grönkjaer,Chelsea,Premier League,2000-2001,11850000
Fabien Barthez,Man Utd,Premier League,2000-2001,11700000
Edmílson,Olympique Lyon,Ligue 1,2000-2001,11000000
Stéphane Dalmat,Paris SG,Ligue 1,2000-2001,10750000
Laurén,Arsenal,Premier League,2000-2001,10700000
Pedro Munitis,Real Madrid,La Liga,2000-2001,10500000
Olivier Dacourt,Leeds,Premier League,2000-2001,10500000
Carl Cort,Newcastle,Premier League,2000-2001,10500000
Stéphane Porato,Monaco,Ligue 1,2000-2001,10500000
Robert Pirès,Arsenal,Premier League,2000-2001,9800000
Émerson,Dep. La Coruña,La Liga,2000-2001,9600000
Claudio Husaín,SSC Napoli,Serie A,2000-2001,9300000
Craig Bellamy,Coventry City,Premier League,2000-2001,9250000
Mark Viduka,Leeds,Premier League,2000-2001,9150000
Pauleta,G. Bordeaux,Ligue 1,2000-2001,9100000
Alpay Özalan,Aston Villa,Premier League,2000-2001,9000000
Christian Ziege,Liverpool,Premier League,2000-2001,9000000
Nick Barmby,Liverpool,Premier League,2000-2001,9000000
Marc-Vivien Foé,Olympique Lyon,Ligue 1,2000-2001,9000000
Lúcio,Bay. Leverkusen,Bundesliga,2000-2001,8750000
Christian Karembeu,Middlesbrough,Premier League,2000-2001,8750000
John Carew,Valencia CF,La Liga,2000-2001,8500000
Mario Stanic,Chelsea,Premier League,2000-2001,8400000
Igor Biscan,Liverpool,Premier League,2000-2001,8250000
Julio Cruz,Bologna,Serie A,2000-2001,8200000
Patrick Müller,Olympique Lyon,Ligue 1,2000-2001,8000000
Zlatko Zahovic,Valencia CF,La Liga,2000-2001,8000000
Sabri Lamouchi,Parma,Serie A,2000-2001,7850000
Willy Sagnol,Bayern Munich ,Bundesliga,2000-2001,7700000
Johan Micoud,Parma,Serie A,2000-2001,7600000
Martín Palermo,Villarreal CF,La Liga,2000-2001,7600000
Ben Thatcher,Spurs,Premier League,2000-2001,7540000
Eidur Gudjohnsen,Chelsea,Premier League,2000-2001,7500000
Bruno Cirillo,Inter,Serie A,2000-2001,7500000
Sunday Oliseh,Bor. Dortmund,Bundesliga,2000-2001,7500000
Dino Baggio,Lazio,Serie A,2000-2001,7500000
Diego Placente,Bay. Leverkusen,Bundesliga,2000-2001,7300000
David Sesa,SSC Napoli,Serie A,2000-2001,7250000
Dominic Matteo,Leeds,Premier League,2000-2001,7130000
Mauro Germán Camoranesi,Hellas Verona,Serie A,2000-2001,7000000
Luís Fabiano,Stade Rennais,Ligue 1,2000-2001,7000000
Hermann Hreidarsson,Ipswich,Premier League,2000-2001,6750000
Émerson Thome,Sunderland,Premier League,2000-2001,6700000
Hakan Sükür,Inter,Serie A,2000-2001,6500000
Philippe Delaye,Stade Rennais,Ligue 1,2000-2001,6500000
Alex Nyarko,Everton,Premier League,2000-2001,6300000
César Sánchez,Real Madrid,La Liga,2000-2001,6250000
Patrick M'Boma,Parma,Serie A,2000-2001,6100000
Claus Jensen,Charlton,Premier League,2000-2001,6000000
Lucas Bernardi,Marseille,Ligue 1,2000-2001,6000000
Frédéric Déhu,Paris SG,Ligue 1,2000-2001,6000000
Esteban Fuertes,Lens,Ligue 1,2000-2001,6000000
Sebastián Cejas,AS Roma,Serie A,2000-2001,6000000
Duncan Ferguson,Everton,Premier League,2000-2001,5400000
Giorgi Demetradze,Real Sociedad,La Liga,2000-2001,5400000
Christian Bassedas,Newcastle,Premier League,2000-2001,5300000
José Luis Chilavert,R. Strasbourg,Ligue 1,2000-2001,5300000
Roberto Ayala,Valencia CF,La Liga,2000-2001,5000000
Viorel Moldovan,FC Nantes,Ligue 1,2000-2001,5000000
Vratislav Gresko,Inter,Serie A,2000-2001,5000000
Giorgi Kinkladze,Derby,Premier League,2000-2001,5000000
Fernandão,Marseille,Ligue 1,2000-2001,5000000
Vicente,Valencia CF,La Liga,2000-2001,4800000
Julio Arca,Sunderland,Premier League,2000-2001,4700000
Richard Dunne,Man City,Premier League,2000-2001,4500000
Gary Rowett,Leicester,Premier League,2000-2001,4500000
David Thompson,Coventry City,Premier League,2000-2001,4500000
Alessandro Pistone,Everton,Premier League,2000-2001,4500000
Joseph-Désiré Job,Middlesbrough,Premier League,2000-2001,4500000
Radostin Kishishev,Charlton,Premier League,2000-2001,4500000
Bernard Diomède,Liverpool,Premier League,2000-2001,4500000
Sixto Peralta,Inter,Serie A,2000-2001,4500000
Marquinhos,Bay. Leverkusen,Bundesliga,2000-2001,4500000
Jonatan Johansson,Charlton,Premier League,2000-2001,4300000
Rodolfo Arruabarrena,Villarreal CF,La Liga,2000-2001,4200000
Rigobert Song,West Ham,Premier League,2000-2001,4100000
José Francisco Molina,Dep. La Coruña,La Liga,2000-2001,4100000
Jörg Heinrich,Bor. Dortmund,Bundesliga,2000-2001,4100000
Adrian Mutu,Hellas Verona,Serie A,2000-2001,4000000
Gianni Guigou,AS Roma,Serie A,2000-2001,4000000
Richard Dutruel,FC Barcelona,La Liga,2000-2001,4000000
Charles Amoah,Sturm Graz,Bundesliga,2000-2001,3930000
Niclas Alexandersson,Everton,Premier League,2000-2001,3800000
Darren Huckerby,Man City,Premier League,2000-2001,3800000
David Hopkin,Bradford City,Premier League,2000-2001,3750000
Alf-Inge Haland,Man City,Premier League,2000-2001,3750000
Lomana LuaLua,Newcastle,Premier League,2000-2001,3750000
Steve Watson,Everton,Premier League,2000-2001,3750000
Lee Carsley,Coventry City,Premier League,2000-2001,3750000
Don Hutchison,Sunderland,Premier League,2000-2001,3750000
Didier Deschamps,Valencia CF,La Liga,2000-2001,3500000
Santiago Solari,Real Madrid,La Liga,2000-2001,3500000
Thomas Gravesen,Everton,Premier League,2000-2001,3500000
Jeong-hwan Ahn,Perugia,Serie A,2000-2001,3500000
Stephen Hughes,Everton,Premier League,2000-2001,3500000
Marc Wilmots,G. Bordeaux,Ligue 1,2000-2001,3500000
Alen Boksic,Middlesbrough,Premier League,2000-2001,3450000
Vratislav Lokvenc,1.FC K'lautern,Bundesliga,2000-2001,3150000
Aleksey Smertin,G. Bordeaux,Ligue 1,2000-2001,3000000
Stjepan Tomas,Vicenza,Serie A,2000-2001,3000000
Danny Higginbotham,Derby,Premier League,2000-2001,3000000
Andrew O'Brien,Newcastle,Premier League,2000-2001,3000000
Antonio Pacheco,Inter,Serie A,2000-2001,3000000
Noel Whelan,Middlesbrough,Premier League,2000-2001,3000000
Changui,Dep. La Coruña,La Liga,2000-2001,3000000
Shaun Bartlett,Charlton,Premier League,2000-2001,3000000
Oktay Derelioglu,UD Las Palmas,La Liga,2000-2001,3000000
Bjørn Otto Bragstad,Derby,Premier League,2000-2001,3000000
Milan Fukal,Hamburger SV,Bundesliga,2000-2001,2900000
Marcel Ketelaer,Hamburger SV,Bundesliga,2000-2001,2800000
Bernard Mendy,Paris SG,Ligue 1,2000-2001,2700000
Danijel Ljuboja,R. Strasbourg,Ligue 1,2000-2001,2700000
Gabriel Schürrer,UD Las Palmas,La Liga,2000-2001,2700000
Gary Naysmith,Everton,Premier League,2000-2001,2630000
Christian Dailly,West Ham,Premier League,2000-2001,2600000
Abdelilah Saber,SSC Napoli,Serie A,2000-2001,2500000
Callum Davidson,Leicester,Premier League,2000-2001,2500000
Feliciano Magro,Udinese Calcio,Serie A,2000-2001,2500000
Jean-François Gillet,Bari,Serie A,2000-2001,2500000
Dimitar Berbatov,Bay. Leverkusen,Bundesliga,2000-2001,2500000
Edgaras Jankauskas,Real Sociedad,La Liga,2000-2001,2300000
Ciriaco Sforza,Bayern Munich ,Bundesliga,2000-2001,2300000
Karel Poborsky,Lazio,Serie A,2000-2001,2250000
Trevor Benjamin,Leicester,Premier League,2000-2001,2250000
Francesc Arnau,Málaga CF,La Liga,2000-2001,2100000
Bernt Haas,Sunderland,Premier League,2000-2001,2100000
Pascal Ojigwe,Bay. Leverkusen,Bundesliga,2000-2001,2100000
Chris Makin,Ipswich,Premier League,2000-2001,2100000
Frank Verlaat,Werder Bremen,Bundesliga,2000-2001,2100000
Ashley Ward,Bradford City,Premier League,2000-2001,2100000
Elvir Bolic,Rayo Vallecano,La Liga,2000-2001,2000000
Aleksandr Panov,Saint-Étienne,Ligue 1,2000-2001,2000000
Slavisa Jokanovic,Chelsea,Premier League,2000-2001,1900000
José Amavisca,Dep. La Coruña,La Liga,2000-2001,1900000
Ivica Banovic,Werder Bremen,Bundesliga,2000-2001,1900000
Tommy Berntsen,E. Frankfurt,Bundesliga,2000-2001,1880000
Sergej Barbarez,Hamburger SV,Bundesliga,2000-2001,1800000
Radek Bejbl,Lens,Ligue 1,2000-2001,1800000
Yago Yao,Celta de Vigo,La Liga,2000-2001,1800000
Zinédine Zidane,Real Madrid,La Liga,2001-2002,77500000
Gianluigi Buffon,Juventus,Serie A,2001-2002,52880000
Gaizka Mendieta,Lazio,Serie A,2001-2002,48000000
Juan Sebastián Verón,Man Utd,Premier League,2001-2002,42600000
Rui Costa,AC Milan,Serie A,2001-2002,42000000
Lilian Thuram,Juventus,Serie A,2001-2002,41500000
Pavel Nedved,Juventus,Serie A,2001-2002,38700000
Filippo Inzaghi,AC Milan,Serie A,2001-2002,37000000
Javier Saviola,FC Barcelona,La Liga,2001-2002,35900000
Ruud van Nistelrooy,Man Utd,Premier League,2001-2002,28500000
Antonio Cassano,AS Roma,Serie A,2001-2002,28500000
Hidetoshi Nakata,Parma,Serie A,2001-2002,28400000
Francesco Toldo,Inter,Serie A,2001-2002,26500000
Jaap Stam,Lazio,Serie A,2001-2002,25750000
Márcio Amoroso,Bor. Dortmund,Bundesliga,2001-2002,25500000
Stefano Fiore,Lazio,Serie A,2001-2002,25000000
Marcelo Salas,Juventus,Serie A,2001-2002,25000000
Geovanni,FC Barcelona,La Liga,2001-2002,21000000
Andrea Pirlo,AC Milan,Serie A,2001-2002,18000000
Sérgio Conceição,Inter,Serie A,2001-2002,18000000
Robbie Keane,Leeds,Premier League,2001-2002,18000000
Sergio,Dep. La Coruña,La Liga,2001-2002,17900000
Steve Marlet,Fulham,Premier League,2001-2002,17600000
Philippe Christanval,FC Barcelona,La Liga,2001-2002,17000000
Evanilson,Parma,Serie A,2001-2002,17000000
Robbie Fowler,Leeds,Premier League,2001-2002,16800000
Frank Lampard,Chelsea,Premier League,2001-2002,16000000
Javi Moreno,AC Milan,Serie A,2001-2002,16000000
Luca Toni,Brescia,Serie A,2001-2002,15500000
Cristian Zenoni,Juventus,Serie A,2001-2002,15500000
Darko Kovacevic,Lazio,Serie A,2001-2002,15000000
Massimo Donati,AC Milan,Serie A,2001-2002,15000000
Laurent Robert,Newcastle,Premier League,2001-2002,14330000
Ivan Pelizzoli,AS Roma,Serie A,2001-2002,14000000
Giovanni van Bronckhorst,Arsenal,Premier League,2001-2002,13500000
Adriano,Inter,Serie A,2001-2002,13190000
Mohamed Kallon,Inter,Serie A,2001-2002,13000000
Goran Drulic,Real Zaragoza,La Liga,2001-2002,13000000
Andy Cole,Blackburn,Premier League,2001-2002,12200000
Dean Richards,Spurs,Premier League,2001-2002,12150000
Éric Carrière,Olympique Lyon,Ligue 1,2001-2002,12000000
Daniel Van Buyten,Marseille,Ligue 1,2001-2002,11500000
Seth Johnson,Leeds,Premier League,2001-2002,11500000
Emmanuel Petit,Chelsea,Premier League,2001-2002,11500000
Juan Carlos Valerón,Dep. La Coruña,La Liga,2001-2002,11000000
Cristiano Zanetti,Inter,Serie A,2001-2002,11000000
Diego Forlán,Man Utd,Premier League,2001-2002,11000000
Mario Turdó,Stade Rennais,Ligue 1,2001-2002,10820000
Salva Ballesta,Valencia CF,La Liga,2001-2002,10800000
Corrado Grabbi,Blackburn,Premier League,2001-2002,10700000
Jan Koller,Bor. Dortmund,Bundesliga,2001-2002,10500000
Marco Materazzi,Inter,Serie A,2001-2002,10500000
Edwin van der Sar,Fulham,Premier League,2001-2002,10300000
Martin Djetou,Parma,Serie A,2001-2002,9750000
Gareth Southgate,Middlesbrough,Premier League,2001-2002,9750000
Hugo Leal,Paris SG,Ligue 1,2001-2002,9500000
William Gallas,Chelsea,Premier League,2001-2002,9300000
Martin Laursen,Parma,Serie A,2001-2002,9300000
Craig Bellamy,Newcastle,Premier League,2001-2002,9000000
Fábio Rochemback,FC Barcelona,La Liga,2001-2002,9000000
Lucas Bernardi,Monaco,Ligue 1,2001-2002,9000000
Richard Wright,Arsenal,Premier League,2001-2002,9000000
Péguy Luyindula,Olympique Lyon,Ligue 1,2001-2002,8800000
Edú Gaspar,Arsenal,Premier League,2001-2002,8750000
Flavio Roma,Monaco,Ligue 1,2001-2002,8500000
Tomás Repka,West Ham,Premier League,2001-2002,8250000
Chris Kirkland,Liverpool,Premier League,2001-2002,8200000
Claudio Pizarro,Bayern Munich ,Bundesliga,2001-2002,8200000
Alex,Parma,Serie A,2001-2002,8000000
Darko Kovacevic,Real Sociedad,La Liga,2001-2002,8000000
Boudewijn Zenden,Chelsea,Premier League,2001-2002,8000000
Patrik Andersson,FC Barcelona,La Liga,2001-2002,8000000
Bosko Balaban,Aston Villa,Premier League,2001-2002,7800000
Jermaine Jenas,Newcastle,Premier League,2001-2002,7500000
Fernando Meira,VfB Stuttgart,Bundesliga,2001-2002,7500000
Jason Euell,Charlton,Premier League,2001-2002,7500000
Giuliano Giannichedda,Lazio,Serie A,2001-2002,7500000
Robert Kovac,Bayern Munich ,Bundesliga,2001-2002,7500000
Frédéric Née,Olympique Lyon,Ligue 1,2001-2002,7500000
Don Hutchison,West Ham,Premier League,2001-2002,7500000
Peter Crouch,Aston Villa,Premier League,2001-2002,7500000
Jerzy Dudek,Liverpool,Premier League,2001-2002,7400000
Ewerthon,Bor. Dortmund,Bundesliga,2001-2002,7100000
Marcelinho Paraíba,Hertha BSC,Bundesliga,2001-2002,7000000
Javier Chevantón,Lecce,Serie A,2001-2002,7000000
Cosmin Contra,AC Milan,Serie A,2001-2002,7000000
Camel Meriem,G. Bordeaux,Ligue 1,2001-2002,7000000
Jesper Blomqvist,Everton,Premier League,2001-2002,7000000
Nelson Vivas,Inter,Serie A,2001-2002,7000000
Milan Baros,Liverpool,Premier League,2001-2002,7000000
Olof Mellberg,Aston Villa,Premier League,2001-2002,6800000
Szilard Nemeth,Middlesbrough,Premier League,2001-2002,6750000
Tomasz Radzinski,Everton,Premier League,2001-2002,6750000
Claudio Reyna,Sunderland,Premier League,2001-2002,6700000
Steed Malbranque,Fulham,Premier League,2001-2002,6600000
Christian Ziege,Spurs,Premier League,2001-2002,6500000
Joan Capdevila,Dep. La Coruña,La Liga,2001-2002,6400000
Matteo Sereni,Ipswich,Premier League,2001-2002,6250000
Bart Goor,Hertha BSC,Bundesliga,2001-2002,6250000
John Arne Riise,Liverpool,Premier League,2001-2002,6100000
Luke Young,Charlton,Premier League,2001-2002,6000000
Rory Delap,Southampton,Premier League,2001-2002,6000000
Goran Bunjevcevic,Spurs,Premier League,2001-2002,6000000
Antonio Guayre,Villarreal CF,La Liga,2001-2002,6000000
Gonzalo Sorondo,Inter,Serie A,2001-2002,6000000
Zoltan Sebescen,Bay. Leverkusen,Bundesliga,2001-2002,6000000
Lamberto Zauli,Bologna,Serie A,2001-2002,6000000
Agustín Delgado,Southampton,Premier League,2001-2002,5750000
Joey Gudjónsson,Real Betis,La Liga,2001-2002,5630000
Bernardo Romeo,Hamburger SV,Bundesliga,2001-2002,5620000
Didier Domi,Paris SG,Ligue 1,2001-2002,5580000
Niko Kovac,Bayern Munich ,Bundesliga,2001-2002,5500000
Sylvain Legwinski,Fulham,Premier League,2001-2002,5250000
Jon Harley,Fulham,Premier League,2001-2002,5250000
Nicolás Medina,Sunderland,Premier League,2001-2002,5250000
Ronaldinho,Paris SG,Ligue 1,2001-2002,5100000
Victor Agali,FC Schalke 04,Bundesliga,2001-2002,5100000
Nihat Kahveci,Real Sociedad,La Liga,2001-2002,5000000
César,Lazio,Serie A,2001-2002,5000000
Christian Panucci,AS Roma,Serie A,2001-2002,5000000
Ezequiel González,Fiorentina,Serie A,2001-2002,5000000
Eduardo Costa,G. Bordeaux,Ligue 1,2001-2002,5000000
Ümit Davala,AC Milan,Serie A,2001-2002,5000000
Sander Westerveld,Real Sociedad,La Liga,2001-2002,5000000
Lilian Laslandes,Sunderland,Premier League,2001-2002,5000000
João Tomás,Real Betis,La Liga,2001-2002,5000000
Delfim,Marseille,Ligue 1,2001-2002,5000000
Jörg Albertz,Hamburger SV,Bundesliga,2001-2002,5000000
David James,West Ham,Premier League,2001-2002,4800000
Aníbal Matellán,FC Schalke 04,Bundesliga,2001-2002,4800000
Jérôme Rothen,Monaco,Ligue 1,2001-2002,4500000
Marcus Bent,Ipswich,Premier League,2001-2002,4500000
Patrick M'Boma,Sunderland,Premier League,2001-2002,4500000
Matthew Jones,Leicester,Premier League,2001-2002,4500000
James Scowcroft,Leicester,Premier League,2001-2002,4500000
Jacek Bak,Lens,Ligue 1,2001-2002,4300000
Pablo Contreras,Celta de Vigo,La Liga,2001-2002,4200000
Finidi George,Ipswich,Premier League,2001-2002,4200000
François Grenet,Derby,Premier League,2001-2002,4190000
Lincoln,1.FC K'lautern,Bundesliga,2001-2002,4000000
Brahim Hemdani,Marseille,Ligue 1,2001-2002,4000000
Mustapha Hadji,Aston Villa,Premier League,2001-2002,4000000
Alberto Gilardino,Hellas Verona,Serie A,2001-2002,3870000
Mario Yepes,FC Nantes,Ligue 1,2001-2002,3800000
Sylvinho,Celta de Vigo,La Liga,2001-2002,3800000
Toifilou Maoulida,Stade Rennais,Ligue 1,2001-2002,3800000
Tobias Linderoth,Everton,Premier League,2001-2002,3750000
Ian Walker,Leicester,Premier League,2001-2002,3750000
Gabriel Heinze,Paris SG,Ligue 1,2001-2002,3500000
Vitali Kutuzov,AC Milan,Serie A,2001-2002,3500000
Yksel Osmanovski,Torino,Serie A,2001-2002,3500000
Gustavo Poyet,Spurs,Premier League,2001-2002,3400000
Abdeslam Ouaddou,Fulham,Premier League,2001-2002,3300000
Martin Petrov,VfL Wolfsburg,Bundesliga,2001-2002,3250000
Yildiray Bastürk,Bay. Leverkusen,Bundesliga,2001-2002,3250000
Sebastian Kehl,Bor. Dortmund,Bundesliga,2001-2002,3200000
Olivier Monterrubio,Stade Rennais,Ligue 1,2001-2002,3000000
Diego Klimowicz,VfL Wolfsburg,Bundesliga,2001-2002,3000000
Olivier Sorlin,Stade Rennais,Ligue 1,2001-2002,3000000
Nils-Eric Johansson,Blackburn,Premier League,2001-2002,3000000
Hakan Ünsal,Blackburn,Premier League,2001-2002,3000000
Alberto Fontana,Inter,Serie A,2001-2002,3000000
Jason McAteer,Sunderland,Premier League,2001-2002,3000000
Marco Reich,1. FC Köln,Bundesliga,2001-2002,3000000
Roy Carroll,Man Utd,Premier League,2001-2002,3000000
Jonathan Greening,Middlesbrough,Premier League,2001-2002,3000000
Miroslav Karhan,VfL Wolfsburg,Bundesliga,2001-2002,2750000
Francisco Rojas,Sturm Graz,Bundesliga,2001-2002,2660000
Brett Ormerod,Southampton,Premier League,2001-2002,2650000
Daniel Andersson,Venezia,Serie A,2001-2002,2500000
Fatih Akyel,RCD Mallorca,La Liga,2001-2002,2500000
Vladimir Janocko,Austria Vienna,Bundesliga,2001-2002,2500000
Luigi Sala,Atalanta,Serie A,2001-2002,2500000
Pascal Nouma,Marseille,Ligue 1,2001-2002,2500000
Dennis Wise,Leicester,Premier League,2001-2002,2400000
Luís Boa Morte,Fulham,Premier League,2001-2002,2300000
Mark Wilson,Middlesbrough,Premier League,2001-2002,2300000
Bruno Basto,G. Bordeaux,Ligue 1,2001-2002,2280000
Mehdi Mahdavikia,Hamburger SV,Bundesliga,2001-2002,2250000
Mate Bilic,Real Zaragoza,La Liga,2001-2002,2250000
Markus Weissenberger,1860 Munich,Bundesliga,2001-2002,2250000
Thomas Hengen,1.FC K'lautern,Bundesliga,2001-2002,2250000
Denis Lapaczinski,Hertha BSC,Bundesliga,2001-2002,2250000
Mark Draper,Southampton,Premier League,2001-2002,2250000
Joachim Björklund,Sunderland,Premier League,2001-2002,2230000
Yann Lachuer,AJ Auxerre,Ligue 1,2001-2002,2000000
Claudio Taffarel,Parma,Serie A,2001-2002,2000000
Marc Wilmots,FC Schalke 04,Bundesliga,2001-2002,2000000
Gheorghe Popescu,Lecce,Serie A,2001-2002,2000000
Winston Parks,Udinese Calcio,Serie A,2001-2002,2000000
Tugay Kerimoglu,Blackburn,Premier League,2001-2002,1950000
Ulrich Le Pen,Ipswich,Premier League,2001-2002,1950000
Papa Bouba Diop,Lens,Ligue 1,2001-2002,1800000
Adékambi Olufadé,LOSC Lille,Ligue 1,2001-2002,1800000
John Aloisi,CA Osasuna,La Liga,2001-2002,1800000
Thomas Gaardsöe,Ipswich,Premier League,2001-2002,1800000
Rio Ferdinand,Man Utd,Premier League,2002-2003,46000000
Ronaldo,Real Madrid,La Liga,2002-2003,45000000
Hernán Crespo,Inter,Serie A,2002-2003,36000000
Alessandro Nesta,AC Milan,Serie A,2002-2003,30500000
Fabio Cannavaro,Inter,Serie A,2002-2003,23000000
Clarence Seedorf,AC Milan,Serie A,2002-2003,22500000
Francesco Coco,Inter,Serie A,2002-2003,22500000
Matías Almeyda,Inter,Serie A,2002-2003,22100000
Marco Di Vaio,Juventus,Serie A,2002-2003,21000000
Nicolas Anelka,Man City,Premier League,2002-2003,15000000
Albert Luque,Dep. La Coruña,La Liga,2002-2003,15000000
El-Hadji Diouf,Liverpool,Premier League,2002-2003,15000000
Adriano,Parma,Serie A,2002-2003,14500000
Jonathan Woodgate,Newcastle,Premier League,2002-2003,13500000
Jorge Andrade,Dep. La Coruña,La Liga,2002-2003,13000000
Javi Moreno,Atlético Madrid,La Liga,2002-2003,13000000
Hugo Viana,Newcastle,Premier League,2002-2003,12750000
Massimo Maccarone,Middlesbrough,Premier League,2002-2003,12380000
Alberto Gilardino,Parma,Serie A,2002-2003,12000000
Martin Laursen,AC Milan,Serie A,2002-2003,11000000
Tore André Flo,Sunderland,Premier League,2002-2003,11000000
Roberto Acuña,Dep. La Coruña,La Liga,2002-2003,11000000
André Luiz,Paris SG,Ligue 1,2002-2003,11000000
Robbie Keane,Spurs,Premier League,2002-2003,10500000
Adrian Mutu,Parma,Serie A,2002-2003,10000000
Juan Riquelme,FC Barcelona,La Liga,2002-2003,10000000
Bernardo Corradi,Lazio,Serie A,2002-2003,10000000
Robbie Fowler,Man City,Premier League,2002-2003,9800000
Zé Roberto,Bayern Munich ,Bundesliga,2002-2003,9500000
Sebastian Deisler,Bayern Munich ,Bundesliga,2002-2003,9000000
Jean-Claude Darcheville,G. Bordeaux,Ligue 1,2002-2003,9000000
Lee Hughes,West Brom,Premier League,2002-2003,9000000
Mauro Germán Camoranesi,Juventus,Serie A,2002-2003,8500000
Torsten Frings,Bor. Dortmund,Bundesliga,2002-2003,8500000
França,Bay. Leverkusen,Bundesliga,2002-2003,8500000
Fabrizio Miccoli,Juventus,Serie A,2002-2003,7500000
Salif Diao,Liverpool,Premier League,2002-2003,7500000
Matías Vuoso,Man City,Premier League,2002-2003,7500000
Christian Poulsen,FC Schalke 04,Bundesliga,2002-2003,7000000
Mark Bresciano,Parma,Serie A,2002-2003,7000000
Gilberto Silva,Arsenal,Premier League,2002-2003,6900000
George Boateng,Middlesbrough,Premier League,2002-2003,6900000
Juninho Paulista,Middlesbrough,Premier League,2002-2003,6900000
Titus Bramble,Newcastle,Premier League,2002-2003,6800000
Bruno Cheyrou,Liverpool,Premier League,2002-2003,6500000
Émerson,Atlético Madrid,La Liga,2002-2003,6500000
Jan Simak,Bay. Leverkusen,Bundesliga,2002-2003,6500000
Clinton Morrison,Birmingham,Premier League,2002-2003,6380000
Frank Rost,FC Schalke 04,Bundesliga,2002-2003,6250000
Rubén Olivera,Juventus,Serie A,2002-2003,6240000
Michael Ballack,Bayern Munich ,Bundesliga,2002-2003,6000000
Sylvain Distin,Man City,Premier League,2002-2003,6000000
Maxi Rodríguez,Espanyol,La Liga,2002-2003,6000000
Ariza Makukula,FC Nantes,Ligue 1,2002-2003,5500000
Richard Wright,Everton,Premier League,2002-2003,5500000
Gary Rowett,Charlton,Premier League,2002-2003,5250000
Matt Piper,Sunderland,Premier League,2002-2003,5250000
Michael Ricketts,Middlesbrough,Premier League,2002-2003,5250000
Dario Simic,AC Milan,Serie A,2002-2003,5000000
Matteo Brighi,Parma,Serie A,2002-2003,5000000
Petr Cech,Stade Rennais,Ligue 1,2002-2003,5000000
Marcus Stewart,Sunderland,Premier League,2002-2003,4880000
Carlos Paredes,Reggina,Serie A,2002-2003,4800000
Stephen Appiah,Brescia,Serie A,2002-2003,4550000
Emiliano Bonazzoli,Reggina,Serie A,2002-2003,4500000
Stephen Wright,Sunderland,Premier League,2002-2003,4500000
David Sommeil,Man City,Premier League,2002-2003,4500000
Nick Barmby,Leeds,Premier League,2002-2003,4500000
Daniel Bierofka,Bay. Leverkusen,Bundesliga,2002-2003,4200000
Georgi Ivanov,Stade Rennais,Ligue 1,2002-2003,4100000
Patrice Evra,Monaco,Ligue 1,2002-2003,4100000
Bernardo Corradi,Inter,Serie A,2002-2003,4000000
Cristian Ledesma,Hamburger SV,Bundesliga,2002-2003,4000000
Darío Rodríguez,FC Schalke 04,Bundesliga,2002-2003,4000000
Mahamadou Diarra,Olympique Lyon,Ligue 1,2002-2003,3900000
Pascal Cygan,Arsenal,Premier League,2002-2003,3830000
Franck Queudrue,Middlesbrough,Premier League,2002-2003,3750000
